# 
# Study ERP023010: Nippostrongylus brasiliensis Genome & Transcriptome sequencing and assembly
# See Chandler .. Eccles, 2017: https://www.ncbi.nlm.nih.gov/pubmed/28491281, Eccles .. Ewbank, 2018: https://www.ncbi.nlm.nih.gov/pubmed/29325570
# Reads aligned with TopHat2 and quantified with HTSeq, by RNASeq-er: https://www.ebi.ac.uk/fg/rnaseq/api
# 
# Values are transcripts per million units (TPMs) per gene, median across runs
gene_id	L3 larvae, activated incubation	L3 larvae, infective incubation	L3 larvae, red-blood cell feeding
NBR_0000000001	1.5	1.5	1.7
NBR_0000000101	0.8	5.6	1.9
NBR_0000000201	33.2	62.4	23.7
NBR_0000000301	22.0	51.0	63.4
NBR_0000000401	0.2	0.2	0.4
NBR_0000000501	53.7	83.2	62.6
NBR_0000000601	29.9	14.2	30.5
NBR_0000000701	67.7	20.0	80.0
NBR_0000000801	137.2	171.1	152.8
NBR_0000000901	82.0	77.8	81.9
NBR_0000001001	0.9	22.0	1.5
NBR_0000001101	0.5	0.6	0.5
NBR_0000001201	30.4	15.1	31.1
NBR_0000001301	1.3	0.9	1.7
NBR_0000001401	0.0	0.0	0.0
NBR_0000001501	0.2	0.6	0.2
NBR_0000001601	39.9	41.8	44.5
NBR_0000001701	188.4	115.1	214.0
NBR_0000001801	24.8	48.1	33.2
NBR_0000001901	39.5	135.2	42.3
NBR_0000002001	12.8	41.5	11.8
NBR_0000002101	0.0	0.0	0.0
NBR_0000002201	131.8	251.6	162.8
NBR_0000002301	2.2	1.8	4.6
NBR_0000002401	24.0	58.5	39.0
NBR_0000002501	0.0	0.3	0.2
NBR_0000002601	19.3	27.8	19.6
NBR_0000002701	0.0	0.0	0.0
NBR_0000002801	3.7	8.3	2.2
NBR_0000002901	0.0	0.0	0.0
NBR_0000003001	0.0	0.0	0.2
NBR_0000003101	48.7	132.5	88.2
NBR_0000003201	8.7	13.9	7.0
NBR_0000003301	65.8	9.5	44.7
NBR_0000003401	3.0	6.7	2.5
NBR_0000003501	1.7	0.8	1.4
NBR_0000003601	0.1	0.0	0.1
NBR_0000003701	1.8	1.1	1.7
NBR_0000003801	1.7	1.4	1.7
NBR_0000003901	0.0	0.0	0.0
NBR_0000004001	0.0	0.2	0.0
NBR_0000004101	18.1	74.7	16.1
NBR_0000004201	2460.7	959.0	2232.4
NBR_0000004301	16.0	6.6	15.0
NBR_0000004401	60.5	32.2	82.2
NBR_0000004501	13.9	13.2	11.1
NBR_0000004601	80.3	93.7	105.4
NBR_0000004701	18.6	12.2	22.0
NBR_0000004801	95.6	94.2	100.2
NBR_0000004901	13.4	18.1	9.5
NBR_0000005001	18.5	24.8	14.2
NBR_0000005101	1.4	0.5	3.1
NBR_0000005201	0.2	1.2	0.5
NBR_0000005301	8.8	9.7	9.0
NBR_0000005401	288.4	0.4	168.8
NBR_0000005501	166.5	0.3	102.3
NBR_0000005601	52.4	134.4	38.9
NBR_0000005701	11.0	8.3	7.4
NBR_0000005801	10.3	4.0	11.6
NBR_0000005901	0.2	0.4	0.2
NBR_0000006001	8.9	5.6	4.2
NBR_0000006101	3.6	4.2	12.7
NBR_0000006201	23.2	15.0	33.7
NBR_0000006301	0.9	0.6	1.0
NBR_0000006401	0.1	0.1	0.2
NBR_0000006501	90.3	9.8	108.2
NBR_0000006601	8.6	5.1	9.8
NBR_0000006701	28.6	27.4	38.9
NBR_0000006801	0.0	0.0	0.2
NBR_0000006901	0.0	0.0	0.0
NBR_0000007001	0.0	0.0	0.0
NBR_0000007101	0.0	0.0	0.0
NBR_0000007201	3.0	42.6	2.4
NBR_0000007301	37.3	30.1	35.0
NBR_0000007401	49.0	32.2	60.3
NBR_0000007501	14.2	13.6	17.4
NBR_0000007601	0.2	1.0	0.3
NBR_0000007701	0.2	0.8	0.4
NBR_0000007801	0.5	0.0	0.3
NBR_0000007901	0.0	0.0	0.0
NBR_0000008001	0.4	0.1	0.4
NBR_0000008101	0.0	0.0	0.0
NBR_0000008201	0.0	0.1	0.1
NBR_0000008301	2.1	0.6	2.8
NBR_0000008401	113.0	79.1	119.7
NBR_0000008501	9.7	23.0	9.1
NBR_0000008601	26.9	35.6	28.0
NBR_0000008701	0.2	0.3	0.2
NBR_0000008801	0.0	0.0	0.0
NBR_0000008901	100.9	56.8	105.5
NBR_0000009001	18.6	6.3	14.4
NBR_0000009101	20.4	70.1	12.0
NBR_0000009201	5.8	5.2	5.0
NBR_0000009301	18.4	4.1	23.9
NBR_0000009401	547.9	12057.5	348.9
NBR_0000009501	6.2	21.4	4.9
NBR_0000009601	0.0	0.1	0.0
NBR_0000009701	20.0	30.0	28.6
NBR_0000009801	186.1	172.0	169.0
NBR_0000009901	23.3	38.2	31.0
NBR_0000010001	2.3	4.9	2.4
NBR_0000010101	1.2	0.7	0.7
NBR_0000010201	0.1	0.0	0.0
NBR_0000010301	0.3	0.6	0.3
NBR_0000010401	2.3	1.9	2.3
NBR_0000010501	0.6	0.9	1.1
NBR_0000010601	3.8	15.8	3.7
NBR_0000010701	0.0	0.0	0.0
NBR_0000010801	0.0	0.0	0.0
NBR_0000010901	0.1	0.0	0.1
NBR_0000011001	0.0	0.0	0.0
NBR_0000011101	4.1	0.4	4.5
NBR_0000011201	3.4	0.8	2.7
NBR_0000011301	0.9	0.1	0.5
NBR_0000011401	2.1	2.0	3.7
NBR_0000011501	0.1	0.1	0.1
NBR_0000011601	0.6	0.2	0.6
NBR_0000011701	13.9	11.6	16.9
NBR_0000011801	13.1	8.6	12.3
NBR_0000011901	6.3	13.6	7.3
NBR_0000012001	77.8	94.4	149.4
NBR_0000012101	28.6	18.8	27.9
NBR_0000012201	9.4	8.9	8.8
NBR_0000012301	13.1	4.3	16.5
NBR_0000012401	13.1	1.5	12.4
NBR_0000012501	5.3	0.1	3.3
NBR_0000012601	13.1	8.5	12.8
NBR_0000012701	23.2	52.0	23.5
NBR_0000012801	61.6	40.1	55.4
NBR_0000012901	10.2	40.5	5.8
NBR_0000013001	123.8	320.7	81.2
NBR_0000013101	18.0	38.1	14.4
NBR_0000013201	1.8	0.9	3.7
NBR_0000013301	11.9	20.5	13.9
NBR_0000013401	0.5	0.9	1.1
NBR_0000013501	1.4	2.7	0.9
NBR_0000013601	13.8	11.9	17.6
NBR_0000013701	30.8	66.8	28.8
NBR_0000013801	13.1	21.8	13.1
NBR_0000013901	73.1	27.1	70.9
NBR_0000014001	73.9	69.0	86.3
NBR_0000014101	0.2	0.0	0.3
NBR_0000014201	3.0	2.2	2.5
NBR_0000014301	4.2	4.9	3.1
NBR_0000014401	0.0	0.0	0.0
NBR_0000014501	60.4	189.8	68.8
NBR_0000014601	2.0	7.3	2.5
NBR_0000014701	5.9	0.3	4.7
NBR_0000014801	3.5	0.6	3.8
NBR_0000014901	17.0	6.7	25.1
NBR_0000015001	46.2	21.5	34.9
NBR_0000015101	42.9	24.9	50.0
NBR_0000015201	3.5	2.2	13.2
NBR_0000015301	14.7	10.5	13.6
NBR_0000015401	20.4	17.1	23.6
NBR_0000015501	11.4	36.0	9.2
NBR_0000015601	25.7	16.6	23.1
NBR_0000015701	44.0	45.9	54.1
NBR_0000015801	36.9	32.2	40.1
NBR_0000015901	53.1	45.2	55.8
NBR_0000016001	0.4	0.6	0.4
NBR_0000016101	37.4	11.1	29.0
NBR_0000016201	0.0	0.0	0.0
NBR_0000016301	0.0	0.0	0.0
NBR_0000016401	0.0	0.0	0.0
NBR_0000016501	2.0	6.8	12.8
NBR_0000016601	6.7	1.4	9.8
NBR_0000016701	14.9	16.3	12.1
NBR_0000016801	2.1	0.8	2.0
NBR_0000016901	17.9	4.8	7.4
NBR_0000017001	43.8	8.6	18.8
NBR_0000017101	15.3	35.7	15.9
NBR_0000017201	0.0	0.1	0.0
NBR_0000017301	0.0	0.0	0.0
NBR_0000017401	1.0	0.0	0.4
NBR_0000017501	140.1	124.5	156.6
NBR_0000017601	422.7	828.1	391.3
NBR_0000017701	14.3	12.8	12.8
NBR_0000017801	10.9	8.5	10.1
NBR_0000017901	1.2	0.7	1.5
NBR_0000018001	261.6	34.5	258.1
NBR_0000018101	1.3	1.8	2.6
