# 
# Study ERP023010: Nippostrongylus brasiliensis Genome & Transcriptome sequencing and assembly
# See Chandler .. Eccles, 2017: https://www.ncbi.nlm.nih.gov/pubmed/28491281, Eccles .. Ewbank, 2018: https://www.ncbi.nlm.nih.gov/pubmed/29325570
# Reads aligned with TopHat2 and quantified with HTSeq, by RNASeq-er: https://www.ebi.ac.uk/fg/rnaseq/api
# 
# Values are transcripts per million units (TPMs) per gene for each run
gene_id	ERR2023649	ERR2023650	ERR2023651	ERR2023646	ERR2023647	ERR2023648	ERR2023652	ERR2023653	ERR2023654
NBR_0000000001	1.46	1.34	1.72	1.3	1.5	1.8	1.77	1.69	1.56
NBR_0000000101	0.74	0.76	1.46	6.53	5.29	5.55	1.24	1.99	1.92
NBR_0000000201	32.6	36.02	33.25	65.84	62.39	60.76	25.85	23.7	23.45
NBR_0000000301	20.23	22.05	25.26	58.07	49.77	51.05	77.36	63.41	61.89
NBR_0000000401	0.24	0.23	0.22	0.45	0.15	0.08	0.39	0.07	0.37
NBR_0000000501	49.84	53.67	53.79	90.26	83.23	79.2	62.61	61.4	64.23
NBR_0000000601	28.7	29.86	31.09	12.24	14.2	15.12	29.5	32.39	30.47
NBR_0000000701	61.04	77.1	67.69	18.68	19.95	20.36	79.26	80.01	79.96
NBR_0000000801	134.7	137.19	140.91	171.05	166.08	171.24	140.8	152.83	156.04
NBR_0000000901	82.77	79.92	82.01	77.76	75.41	78.27	85.95	81.88	81.74
NBR_0000001001	0.59	0.87	1.87	21.95	27.99	19.9	1.89	1.39	1.55
NBR_0000001101	0.52	0.83	0	0.64	0.65	1.37	0.84	0.47	0.32
NBR_0000001201	30.11	34.06	30.4	15.04	15.08	18.22	32.29	31.02	31.15
NBR_0000001301	1.31	1.1	1.34	0.57	1.09	0.91	1.34	1.67	1.99
NBR_0000001401	0	0	0	0	0	0	0	0	0
NBR_0000001501	0.23	0.44	0.11	0.21	0.76	0.57	0.22	0.42	0.11
NBR_0000001601	35.73	39.88	43.55	36.29	41.78	43.28	51.38	44.48	44.02
NBR_0000001701	183.72	188.43	208.76	115.11	111.13	124.2	202.91	214.01	223.67
NBR_0000001801	24.82	23.26	26.85	32.68	48.12	51.49	34.46	33.21	25.48
NBR_0000001901	37.2	39.47	40.12	103.14	135.21	158.21	42.28	38.4	42.79
NBR_0000002001	15.18	12.83	12.44	38.81	41.54	56.33	11.35	11.78	14.32
NBR_0000002101	0	0	0	0.2	0	0	0	0	0
NBR_0000002201	119.16	131.82	145.26	256.29	251.57	216.92	143.04	162.76	164.07
NBR_0000002301	2.09	2.19	4.5	1.73	2.36	1.79	5.93	3.81	4.58
NBR_0000002401	23.17	27.12	23.96	56.72	60.62	58.53	31.7	39.5	39.04
NBR_0000002501	0	0	0	0.49	0	0.26	0	0.24	0.48
NBR_0000002601	15.84	20.11	19.32	25.53	27.83	31.75	20.24	19.57	15.25
NBR_0000002701	0	0.21	0	0	0.2	0	0	0	0.2
NBR_0000002801	3.36	3.71	4.3	8.32	7.17	8.85	3.75	2.18	1.61
NBR_0000002901	0	0	0	0	0	0	0	0	0
NBR_0000003001	0.25	0	0	0	0	1.25	0	0.23	0.93
NBR_0000003101	53.15	36.25	48.74	136.84	132.51	118.51	80.37	91.52	88.25
NBR_0000003201	8.93	8.7	8.1	13.47	13.91	14.12	6.99	7.66	6.03
NBR_0000003301	69.84	65.77	61.23	11.29	9.46	9.43	49.42	44.67	35.89
NBR_0000003401	2.86	2.96	3.57	6.48	7.35	6.68	3.23	2.45	2.41
NBR_0000003501	1.6	2.32	1.66	0.77	0.65	1.51	1.41	1.82	1.41
NBR_0000003601	0.07	0.07	0	0	0	0	0	0.07	0.27
NBR_0000003701	1.81	2.43	1.72	1.43	0.97	1.12	2.33	1.66	1.39
NBR_0000003801	2	1.32	1.68	1.7	1.35	1.04	1.88	1.6	1.69
NBR_0000003901	0	0	0	0	0	0	0	0	0
NBR_0000004001	0	0	0.34	0.17	0.34	0	0.18	0	0
NBR_0000004101	18.04	18.21	18.14	74.66	75.83	70.41	17.47	16.08	14.95
